,text,is_spam
0,กกต.จี้“อนาคตใหม่”แจงเงินกู้“ธนาธร” https://t.co/iKuv86oaK8,1
1,"ตายสนิท!'อิศรา'เปิดภ.ง.ด.91ปี61'คุณช่อ'แจ้งรายได้ 8.4 แสน คืนภาษี 6,752 บ.อุดหนุนส้มหวาน 500 ไม่พบริจาค 1 ล้าน https://t.co/MPBy0HjtJA",1
2,Let's Get It : ชีวิตติดใบแดง CD กันต์ธีร์  EP. 1 Coming Soon!!! https://t.co/ANJvT4DSlj ข้อมูลจาก @YouTube,1
3,"อ้าวเฮ้ย ไม่เหมือนที่คุยกันไว้นี่หว่า...อุตส่าห์รณรงค์ยกเลิกเกณฑ์ทหาร พวกนี้ไปอยู่ดาวไหนมาวะ
----------------------------
แห่สมัครทหารวันแรกคึกคัก เด็กรุ่นใหม่หวังต่อยอดอนาคต

https://t.co/J9Qn1PGzsS",1
4,เป้นกำลังใจให้นะท่าน,1
5,ไอ้หน้าเหี้ย,1
6,อย่าทำให้มันเป้นเรื่องเศร้า,1
7,https://t.co/62ynfXcgkI,1
8,"คนทำก็ไม่รู้ใช่อะไรคิด อาจารย์ก็ไม่รู้ยอมได้ไง
https://t.co/M4gYRiiwBA https://t.co/VuANjeHpHo",1
9,"RT @MaisonWanvipa: ปี 2562 ขาดประชุม ส.ส.ไป 1 ครั้ง (ติดประเด็นเลิกจ้างคนงาน) ปีนี้มาลุยกันใหม่ 
#ทํางานวนไป #อนาคตใหม่ https://t.co/jRIbk2…",1
10,เยี่ยมเลยคะ,1
11,ดีใจด้วยคะควบคุมดูแลไห้ดีคะ,1
12,หลุดสร้างเรื่องวุ่นวายได้แล้ว,1
13,ดูกันดีๆ,1
14,"กองทัพบกยังคงเดินหน้าอย่างต่อเนื่อง
จัดกำลังลงพื้นที่แจกจ่ายหน้ากากอนามัย 
และให้คำแนะนำการป้องกันโรคไวรัสโคโรน่าสายพันธุ์ใหม่ 
#กองทัพบกห่วงใยประชาชน
#กองทัพบกเพื่อประชาชน https://t.co/wD7DFPzd6g",1
15,"แล้วที่น้องช่อ  ทำผิดละทำไงดี
#พรรคอนาคตใหม่",1
16,"มันจะชิบหายเพราะพวกมึง
#อนคตไหม้",1
17,ตีความไปแบบอื่นอีกล่ะ ทีอาจารย์เองยังเปรียบเทียบคนอื่นเป็นปรสิตเลยอ่ะ,1
18,ปีใหม่ พวกเขาไม่ได้กลับบ้าน เพื่อความปลอดภัยของประชาชนคนที่เดินทาง #รักทหารไทย https://t.co/CGUCb2MxY9,1
19,เป็นกำลังใจให้ครับ,1
20,https://t.co/gEZJsDjeT0,1
21,"#เนรคุณแผ่นดิน  ดอกกกก
#ติ่งควายส้ม",1
22,หนาวนี้กอดใครได้น้อ,1
23,ขอแสดงความเสียใจด้วยความอาลัยยิ่ง,1
24,ไช่หรอ5555,1
25,"#ทหารใหม่
#น้องคนเล็ก
#กองทัพบก 
#popapanda
#letsgetit
#ชีวิตติดใบแดง
#CDGT
#cdguntee https://t.co/4VLLbJVAqI",1
26,ชมความงาม สวนดอกไม้ ผ่อนคลายในวันหยุดจ้า https://t.co/QOWd2KD3q3,1
27,น่าารักจัง https://t.co/a9OC6zjQRr,1
28,ขอพระองค์ทรงพระเจริญ,1
29,เราต้องทำตามกฎหมายันทุกคน,1
30,ยุบเลยคะ,1
31,ดีแล้วคะ,1
32,หิวๆๆๆๆๆๆๆ,1
33,้hi,1
34,Enhance Armament #saoalicization https://t.co/YY9qFqQsc8,1
35,อยากให้ธนาธรดูแม่สมพร หากที่ดินได้มาไม่ถูกต้องก็ต้องคืนรัฐ มันไม่ใช่เรื่องอยู่เป็นหรืออยู่ไม่เป็น หากไม่คืนก็คงจะอยู่ยาก https://t.co/EKmhUgCnjU,1
36,ก็ขากระตุ้นไห้ประชาชนทุกคนรักชาติ,1
37,ขอไห้ร่วมกันพัฒนาประเทศคะ,1
38,RT @Pachachoncyber: นักกฎหมายแบบปิยบุตร มันก็เป็นได้แค่นักกฏหมายแบบศรีธนญชัยสุดท้ายก็ตายเอง https://t.co/W0u02SKhcF,1
39,เป็นกำลังใจให้ท่านนะครับ,1
40,อยากให้จับพวกนี้ได้จังเลย,1
41,อีอุบาท,1
