,text,clean_text,is_spam
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ไปจนถึงจูรงพ้อยท์ บ้า...มีขายเฉพาะในบูกิสและโลกที่ดี บุฟเฟ่ต์ ซีนที่นั่นมีเอมัวร์...,0
1,Ok lar... Joking wif u oni...,โอเค....ล้อเล่นกับเธอนะ โอนิ...,0
3,U dun say so early hor... U c already then say...,เธอไม่บอกเร็วนักเหรอ...เธอเห็นแล้วค่อยบอก...,0
4,"Nah I don't think he goes to usf, he lives around here though",ไม่ ฉันไม่คิดว่าเขาไปที่ยูเอสเอฟนะ เขาอาศัยอยู่แถวๆนี้ละ,0
6,Even my brother is not like to speak with me. They treat me like aids patent.,แม้แต่พี่ชายของฉันก็ไม่ชอบคุยกับฉัน พวกเขาปฏิบัติต่อฉันเหมือนจดสิทธิบัตรเอดส์,0
7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ตามคําขอของคุณ 'scription scriptions' ได้รับการตั้งค่าเป็น 'scriptions ของคุณสําหรับทุก scription. กด *9 เพื่อคัดลอกเพื่อนของคุณ.',0
10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ฉันจะกลับบ้านในไม่ช้านี้และฉันไม่ต้องการที่จะพูดคุยเกี่ยวกับสิ่งนี้อีกต่อไปคืนนี้ เคนะ ฉันร้องไห้พอแล้ววันนี้,0
13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ฉันได้ค้นหาคําที่ถูกต้องเพื่อขอบคุณคุณสําหรับการหยุดพักนี้ ฉันสัญญาว่าจะไม่รับความช่วยเหลือจากคุณและจะเติมเต็มคําสัญญาของฉัน คุณได้ยอดเยี่ยมและอวยพรตลอดเวลา,0
14,I HAVE A DATE ON SUNDAY WITH WILL!!,ฉันมีเดทวันอาทิตย์กับวิลล์นะ,0
16,Oh k...i'm watching here:),โอ้ เค...ฉันดูที่นี่นะ,0
17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,เอ๊ เธอจําได้ไหมว่าสะกดชื่อของเขายังไง... ใช่ ฉันทํา เขาโคตรซนจนฉันเปียกอ่ะ,0
18,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ได้ถ้าต้องการความรู้สึกของเธอ วิธีที่มันจะต้องเป็น,0
20,Is that seriously how you spell his name?,คุณสะกดชื่อเขาจริงๆ เหรอ?,0
21,IÛ÷m going to try for 2 months ha ha only joking,ฉันจะพยายามเป็นเวลา 2 เดือน ฮ่าฮ่า ล้อเล่นเท่านั้น,0
22,So Ì_ pay first lar... Then when is da stock comin...,งั้นก็จ่ายก่อนสิ...งั้นหุ้นจะมาเมื่อไหร่...,0
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,หลังจากที่ฉันกินข้าวกลางวันเสร็จแล้วฉันตรงลงไปเลย ประมาณ 3 โมง เธอกินข้าวกลางวันเสร็จแล้วเหรอ,0
24,Ffffffffff. Alright no way I can meet up with you sooner?,โอเค โอเค ไม่มีทางที่ฉันจะได้เจอเธอเร็วกว่านี้ได้ไหมอ่ะ,0
25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,พึ่งบังคับตัวเองให้กินสักชิ้น ฉันไม่หิวจริงๆ มันแย่อ่ะ มาร์คกําลังกังวล เขารู้ว่าฉันป่วยเมื่อฉันปฏิเสธพิซซ่า (หัวเราะ),0
26,Lol your always so convincing.,(หัวเราะ) เธอเชื่อเสมอเลยอ่ะ,0
